,Belt1_length_deviation,Belt2_length_deviation,TD_length_deviation,IL_length_deviation,PLY1_length_deviation,PLY2_length_deviation,Belt1_width_deviation,Belt2_width_deviation,TD_width_deviation,1BPR_CYCLE_MAT_AT_FRONT,1BPR_CYCLE_TOTAL,2BPR_CYCLE_MAT_AT_FRONT,2BPR_CYCLE_TOTAL,BP1_TOTAL_SCRAP_CUTOUT,BP2_TOTAL_SCRAP_CUTOUT,BPPR_BP1_CYCLE_REST,BPPR_BP2_CYCLE_REST,BR1_LE_ANGLE_MEASURED,BR1_TE_ANGLE_MEASURED,BR2_LE_ANGLE_MEASURED,BR2_TE_ANGLE_MEASURED,BR2_WIDTH_MEASURED,BTPR_CYCLE_TIME_WAIT_CC,DR_SHAPE_PRESSURE_MAX,DR_STITCH_TD_PRESSURE_MAX,DR_TURNUP_PRESSURE_MAX,PR_CYCLE_TIME_1PAP,PR_CYCLE_TIME_PAAP,PR_CYCLE_TIME_STITCH_PA,ISDS_AMOUNT_SPLICES_BP1,ISDS_AMOUNT_SPLICES_BP2,PA_ANGLE_MEASURED,PA_WIDTH_MEASURED,PAPR_CYCLE_MAT_AT_FRONT,PAPR_CYCLE_TOTAL,TDPR_CYCLE_MAT_AT_FRONT,TDPR_CYCLE_TOTAL,BARCODE,FVCW,ONICITY,Upper,ower,tatic,gt_date,Non_Uniformity_Imbalance,Non_Uniformity_RFPP,timeperiod,Rejection_RFPP_Imbalance
3060,1.73,2.21,-1.31,0.84,0.54,0,-0.37,0.51,0.01,422.48768,472.21774,430.34916,485.08216,0,0,190.293,0,29.01,29.5,28.17,27.85,186.51,0,0.85409,1.11416,0.661783,0,0,0,0,0,0,0,46.245,96.92,58.211,89.552,8309116228,6.05,-2.14,14.42,13.17,16.61,25-03-2022,0,0,Control 1,Not Rejected Tyre
3061,1.73,2.21,-1.31,0.84,0.54,0,-0.37,0.51,0.01,422.48768,472.21774,430.34916,485.08216,0,0,190.293,0,29.01,29.5,28.17,27.85,186.51,0,0.85409,1.11416,0.661783,0,0,0,0,0,0,0,46.245,96.92,58.211,89.552,8309116228,6.05,-2.14,14.42,13.17,16.61,25-03-2022,0,0,Control 1,Not Rejected Tyre
3257,0.68,1.65,-2.96,-0.38,0.01,0,-0.79,-1.52,-0.02,115.692,147.274,115.168,147.285,0,0,131.476,0,29.39,29.23,27.87,27.42,184.48,0,0.851038,1.11538,0.664225,0,0,0,0,0,0,0,10.258,60.88,103.069,134.418,8309116278,8.93,-0.06,6.92,13.68,7.11,25-03-2022,0,0,Control 1,Not Rejected Tyre
3256,-0.37,0.48,-1.49,-0.65,-1.3,0,-0.32,-1.41,-0.19,29.37,60.91,28.698,60.891,0,0,44.858,0,29.55,29.28,27.83,27.57,184.59,0,0.85348,1.11538,0.660562,0,0,0,0,0,0,0,10.425,61.05,29.504,60.864,8309116272,5.93,-0.67,8.98,16.8,17.59,25-03-2022,0,0,Control 1,Not Rejected Tyre
3255,0.11,-0.84,-3,0.47,-2.74,0,-0.16,-0.59,-0.1,350.36,381.805,6.61,39.85566,0,0,44.848,0,29.29,29.17,27.3,27.86,185.41,0,0.85409,1.11172,0.661783,0,0,0,0,0,0,0,10.222,60.932,47.672,78.994,8309116237,5.46,-2.63,7.52,12.55,11.08,25-03-2022,0,0,Control 1,Not Rejected Tyre
3062,1.56,4.26,-1.78,-1.25,-0.56,0,-1.26,-1.68,0.08,30.645,62.16,17.58,49.682,0,0,20.233,0,29.09,29.46,28.09,27.51,184.32,0,0.856532,1.11538,0.660562,0,0,0,0,0,0,0,333.427,384.14,8.327,39.705,8309116226,5.14,-0.23,16.62,14.19,3.49,25-03-2022,0,0,Control 1,Not Rejected Tyre
3064,-0.47,1.93,-1.75,-0.79,-1.67,0,0.41,-0.04,0.1,73.878,105.509,74.194,106.555,0,0,14.407,0,29.43,29.38,27.5,28,185.96,0,0.857753,1.116,0.660562,0,0,0,0,0,0,0,160.316,210.973,46.98,78.304,8309116227,6.22,1.65,12.14,5.32,14.54,25-03-2022,0,0,Control 1,Not Rejected Tyre
3244,0.52,1.13,-2.07,1.44,0.07,0,-0.27,-0.1,-0.04,29.469,60.777,28.686,60.8,0,0,44.957,0,29.31,29.48,27.95,27.83,185.9,0,0.855922,1.11538,0.659341,0,0,0,0,0,0,0,10.352,60.993,29.559,60.903,8309116267,4.19,-0.89,10.29,6.05,7.21,25-03-2022,0,0,Control 1,Not Rejected Tyre
3077,-0.08,0.78,-0.35,0.53,0.97,0,-0.06,-0.2,-0.45,29.456,60.874,28.661,60.894,0,0,44.994,0,29.33,29.44,28.14,27.87,185.8,0,0.851648,1.116,0.662393,0,0,0,0,0,0,0,10.513,61.131,21.297,52.704,8309116230,5.48,-3.42,6.39,10.57,9.6,25-03-2022,0,0,Control 1,Not Rejected Tyre
3227,-0.98,-1.42,-0.66,0.08,-0.84,0,0.1,-0.42,0.31,22.371,53.972,21.961,53.983,0,0,44.841,0,29.35,29.15,27.88,27.62,185.58,0,0.85409,1.11416,0.660562,0,0,0,0,0,0,0,6.019,56.608,50.945,102.838,8309116286,7.61,-0.64,8.07,12.51,11.62,25-03-2022,0,0,Control 1,Not Rejected Tyre
